sekunda,plama_px,plam,tlo_px,zapisana
0.2,0,0,51,0
0.5,0,0,0,0
0.8,0,0,274,0
1.0,0,0,0,0
1.2,0,0,0,0
1.5,0,0,0,0
1.8,0,0,216,0
2.0,0,0,0,0
2.2,0,0,0,0
2.5,0,0,0,0
2.8,0,0,93,0
3.0,0,0,0,0
3.2,0,0,0,0
3.5,0,0,0,0
3.8,0,0,347,0
4.0,0,0,0,0
4.2,0,0,0,0
4.5,0,0,0,0
4.8,0,0,245,0
5.0,0,0,0,0
5.2,0,0,0,0
5.5,0,0,0,0
5.8,0,0,209,0
6.0,0,0,0,0
6.2,0,0,0,0
6.5,0,0,0,0
6.8,0,0,132,0
7.0,0,0,0,0
7.2,0,0,0,0
7.5,0,0,0,0
7.8,0,0,242,0
8.0,0,0,0,0
8.2,0,0,0,0
8.5,0,0,0,0
8.8,0,0,241,0
9.0,0,0,0,0
9.2,0,0,0,0
9.5,274,6,0,1
9.8,298,4,95,1
10.0,0,0,0,0
10.2,0,0,0,0
10.5,0,0,0,0
10.8,0,0,275,0
11.0,0,0,0,0
11.2,0,0,0,0
11.5,0,0,0,0
11.8,0,0,217,0
12.0,0,0,0,0
12.2,0,0,0,0
12.5,0,0,0,0
12.8,0,0,86,0
13.0,0,0,0,0
13.2,0,0,0,0
13.5,0,0,0,0
13.8,0,0,272,0
14.0,0,0,0,0
14.2,0,0,0,0
14.5,0,0,0,0
14.8,0,0,248,0
15.0,0,0,0,0
15.2,0,0,0,0
15.5,0,0,0,0
15.8,0,0,217,0
16.0,0,0,0,0
16.2,0,0,0,0
16.5,0,0,0,0
16.8,0,0,135,0
17.0,0,0,0,0
17.2,0,0,0,0
17.5,0,0,0,0
17.8,0,0,244,0
18.0,0,0,0,0
18.2,0,0,0,0
18.5,0,0,0,0
18.8,0,0,241,0
19.0,0,0,0,0
19.2,0,0,0,0
19.5,0,0,0,0
19.8,0,0,94,0
20.0,0,0,0,0
20.2,0,0,0,0
20.5,0,0,0,0
20.8,0,0,277,0
21.0,0,0,0,0
21.2,0,0,0,0
21.5,0,0,0,0
21.8,0,0,213,0
22.0,0,0,0,0
22.2,0,0,0,0
22.5,0,0,0,0
22.8,0,0,94,0
23.0,0,0,0,0
23.2,0,0,0,0
23.5,0,0,0,0
23.8,0,0,371,0
24.0,0,0,0,0
24.2,0,0,0,0
24.5,0,0,0,0
24.8,0,0,251,0
25.0,0,0,0,0
25.2,0,0,0,0
25.5,0,0,0,0
25.8,0,0,210,0
26.0,0,0,0,0
26.2,0,0,0,0
26.5,0,0,0,0
26.8,0,0,132,0
27.0,0,0,0,0
27.2,0,0,0,0
27.5,0,0,0,0
27.8,0,0,234,0
28.0,0,0,0,0
28.2,0,0,0,0
28.5,0,0,0,0
28.8,0,0,242,0
29.0,0,0,0,0
29.2,0,0,0,0
29.5,0,0,0,0
29.8,0,0,94,0
30.0,0,0,0,0
30.2,0,0,0,0
30.5,0,0,0,0
30.8,0,0,271,0
31.0,0,0,0,0
31.2,0,0,0,0
31.5,0,0,0,0
31.8,0,0,213,0
32.0,0,0,0,0
32.2,0,0,0,0
32.5,0,0,0,0
32.8,0,0,91,0
33.0,0,0,0,0
33.2,0,0,0,0
33.5,0,0,0,0
33.8,0,0,364,0
34.0,0,0,0,0
34.2,0,0,0,0
34.5,0,0,0,0
34.8,0,0,248,0
35.0,0,0,0,0
35.2,0,0,0,0
35.5,0,0,0,0
35.8,0,0,212,0
